,year,count
0,1900,17
1,1901,10
2,1902,12
3,1903,22
4,1904,11
5,1905,14
6,1906,13
7,1907,16
8,1908,13
9,1909,11
10,1910,20
11,1911,12
12,1912,12
13,1913,11
14,1914,18
15,1915,13
16,1916,20
17,1917,19
18,1918,15
19,1919,14
20,1920,14
21,1921,18
22,1922,15
23,1923,16
24,1924,18
25,1925,18
26,1926,13
27,1927,16
28,1928,16
29,1929,15
30,1930,20
31,1931,22
32,1932,25
33,1933,30
34,1934,27
35,1935,19
36,1936,35
37,1937,54
38,1938,45
39,1939,32
40,1940,37
41,1941,23
42,1942,20
43,1943,10
44,1944,20
45,1945,11
46,1946,13
47,1947,19
48,1948,20
49,1949,23
50,1950,40
51,1951,20
52,1952,18
53,1953,9
54,1954,22
55,1955,24
56,1956,27
57,1957,18
58,1958,18
59,1959,16
60,1960,30
61,1961,27
62,1962,36
63,1963,34
64,1964,33
65,1965,50
66,1966,26
67,1967,37
68,1969,70
69,1970,48
70,1971,49
71,1972,32
72,1973,31
73,1974,691
74,1975,337
75,1976,52
76,1977,421
77,1978,262
78,1979,3046
79,1980,152
80,1981,463
81,1982,344
82,1983,360
83,1984,402
84,1985,378
85,1986,1375
86,1987,916
87,1988,2296
88,1989,136
89,1990,1518
90,1991,877
91,1992,372
92,1993,979
93,1994,719
94,1995,487
95,1996,583
96,1997,1696
97,1998,2697
98,1999,1691
99,2000,1792
100,2001,1650
101,2002,2078
102,2003,3323
103,2004,1940
104,2005,875
105,2006,2456
106,2007,1189
107,2008,957
108,2009,1497
109,2010,1005
110,2011,713
111,2012,234
112,2013,11
113,2101,1
