Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
10/21/2021 10:32,5.15N,51.4E,29,15.3,-13.6,-6.8,-1.7,3.70E+10,0.13
10/20/2021 8:41,13.8N,140.4W,28,,,,,6.00E+10,0.19
10/20/2021 0:43,59.0N,154.3E,31.4,27.5,12.9,4.2,-23.9,2.00E+10,0.073
9/29/2021 10:50,53.9N,148.0W,28,21.2,-3.5,-9,-18.9,1.37E+11,0.4
9/6/2021 17:55,2.1S,111.8W,26,13.6,-4.4,6.9,10.9,3.10E+10,0.11
7/30/2021 8:06,7.8S,90.1E,63,,,,,1.46E+11,0.42
7/29/2021 13:19,42.4N,98.4E,26.4,14.7,-1.6,-11.9,-8.4,3.70E+10,0.13
7/5/2021 3:46,44.3N,164.2W,43.4,15.7,0.7,15.7,-0.5,7.40E+11,1.8
6/9/2021 5:43,17.9S,55.3W,,,,,,2.30E+10,0.082
5/16/2021 15:51,52.1S,171.2W,37,,,,,3.80E+10,0.13
5/6/2021 5:54,34.7S,141.0E,31,26.6,9.6,-24.4,-4.6,2.10E+10,0.076
5/2/2021 14:12,12.3N,43.4W,,,,,,2.50E+10,0.089
4/13/2021 2:16,26.8N,79.1W,44.4,14.1,-2.8,12.6,5.6,2.10E+10,0.076
4/2/2021 15:52,71.2N,106.7E,40,14.1,-8.9,6.3,-9,1.37E+11,0.4
3/6/2021 8:43,48.6S,90.4E,31.1,18.1,12.7,-4.7,12,1.41E+11,0.41
3/5/2021 13:50,81.1S,141.1E,32.5,23.3,10.1,-8.4,19.2,3.90E+10,0.13
2/28/2021 3:47,9.2N,64.1W,,,,,,2.80E+10,0.098
2/9/2021 23:27,75.8N,92.8W,31,13.1,-5.2,6.3,-10.3,3.00E+10,0.1
2/2/2021 10:03,48.7N,80.1E,20,12.8,4,-6.7,-10.1,3.10E+10,0.11
1/31/2021 2:59,5.3N,115.2E,39.4,15.2,14,-5.8,1.7,2.67E+11,0.72
1/29/2021 16:12,38.8N,51.3W,30,14.3,-14.2,1.9,-0.6,7.70E+10,0.24
1/25/2021 3:01,38.5N,47.6W,19.1,,,,,7.50E+10,0.23
1/24/2021 7:33,45.0S,95.5E,37.5,19.2,13.3,-3.7,13.3,6.10E+10,0.2
12/29/2020 20:32,14.9N,158.2W,33,14.4,-3,10.2,-9.7,4.90E+10,0.16
12/28/2020 17:27,36.8N,54.7W,28.3,15.2,1.5,3.5,-14.7,5.70E+10,0.18
12/22/2020 23:23,31.9N,96.2E,35.5,13.6,-2.6,5.9,-12.1,4.90E+12,9.5
11/28/2020 16:34,33.3N,135.1E,28.1,19.6,1.8,-16.5,-10.4,2.60E+10,0.092
11/25/2020 12:20,30.5S,81.0W,,,,,,2.10E+10,0.076
11/7/2020 21:27,59.8N,16.8E,22.3,16.7,-10.8,1.2,-12.7,1.11E+11,0.33
10/26/2020 15:09,5.9S,160.4E,28.5,17.6,10.9,-13.8,-0.1,1.14E+11,0.34
10/23/2020 20:51,30.0N,71.9W,48,,,,,8.00E+10,0.25
10/22/2020 17:39,22.0N,133.5W,40,17.6,-9.4,14.1,-4.9,4.40E+10,0.15
10/21/2020 18:57,12.9N,150.2W,,,,,,2.20E+10,0.079
10/21/2020 6:38,29.7S,93.9W,39,,,,,2.70E+10,0.095
10/19/2020 7:05,48.6N,93.9E,40.7,,,,,2.10E+10,0.076
10/18/2020 10:52,11.4S,135.8W,36,16.4,15.6,1.5,4.9,3.60E+10,0.12
