,Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
0,2021,5.15N,51.4E,29,15.3,-13.6,-6.8,-1.7,37000000000,0.13
1,2021,13.8N,140.4W,28,,,,,60000000000,0.19
2,2021,59.0N,154.3E,31.4,27.5,12.9,4.2,-23.9,20000000000,0.073
3,2021,53.9N,148.0W,28,21.2,-3.5,-9,-18.9,1.37E+11,0.4
4,2021,2.1S,111.8W,26,13.6,-4.4,6.9,10.9,31000000000,0.11
5,2021,7.8S,90.1E,63,,,,,1.46E+11,0.42
6,2021,42.4N,98.4E,26.4,14.7,-1.6,-11.9,-8.4,37000000000,0.13
7,2021,44.3N,164.2W,43.4,15.7,0.7,15.7,-0.5,7.4E+11,1.8
8,2021,17.9S,55.3W,,,,,,23000000000,0.082
9,2021,52.1S,171.2W,37,,,,,38000000000,0.13
10,2021,34.7S,141.0E,31,26.6,9.6,-24.4,-4.6,21000000000,0.076
11,2021,12.3N,43.4W,,,,,,25000000000,0.089
12,2021,26.8N,79.1W,44.4,14.1,-2.8,12.6,5.6,21000000000,0.076
13,2021,71.2N,106.7E,40,14.1,-8.9,6.3,-9,1.37E+11,0.4
14,2021,48.6S,90.4E,31.1,18.1,12.7,-4.7,12,1.41E+11,0.41
15,2021,81.1S,141.1E,32.5,23.3,10.1,-8.4,19.2,39000000000,0.13
16,2021,9.2N,64.1W,,,,,,28000000000,0.098
17,2021,75.8N,92.8W,31,13.1,-5.2,6.3,-10.3,30000000000,0.1
18,2021,48.7N,80.1E,20,12.8,4,-6.7,-10.1,31000000000,0.11
19,2021,5.3N,115.2E,39.4,15.2,14,-5.8,1.7,2.67E+11,0.72
20,2021,38.8N,51.3W,30,14.3,-14.2,1.9,-0.6,77000000000,0.24
21,2021,38.5N,47.6W,19.1,,,,,75000000000,0.23
22,2021,45.0S,95.5E,37.5,19.2,13.3,-3.7,13.3,61000000000,0.2
23,2020,14.9N,158.2W,33,14.4,-3,10.2,-9.7,49000000000,0.16
24,2020,36.8N,54.7W,28.3,15.2,1.5,3.5,-14.7,57000000000,0.18
25,2020,31.9N,96.2E,35.5,13.6,-2.6,5.9,-12.1,4.9E+12,9.5
26,2020,33.3N,135.1E,28.1,19.6,1.8,-16.5,-10.4,26000000000,0.092
27,2020,30.5S,81.0W,,,,,,21000000000,0.076
28,2020,59.8N,16.8E,22.3,16.7,-10.8,1.2,-12.7,1.11E+11,0.33
29,2020,5.9S,160.4E,28.5,17.6,10.9,-13.8,-0.1,1.14E+11,0.34
30,2020,30.0N,71.9W,48,,,,,80000000000,0.25
31,2020,22.0N,133.5W,40,17.6,-9.4,14.1,-4.9,44000000000,0.15
32,2020,12.9N,150.2W,,,,,,22000000000,0.079
33,2020,29.7S,93.9W,39,,,,,27000000000,0.095
34,2020,48.6N,93.9E,40.7,,,,,21000000000,0.076
35,2020,11.4S,135.8W,36,16.4,15.6,1.5,4.9,36000000000,0.12
36,2020,2.4N,169.7W,46,11.7,10.2,2.9,-4.9,41000000000,0.14
37,2020,26.0N,133.5E,27.8,23.4,7.8,-21.7,3.7,64000000000,0.2
38,2020,35.1S,34.2W,38,11.1,0.5,6,9.3,74000000000,0.23
39,2020,20.0S,103.8W,36,,,,,22000000000,0.079
40,2020,51.8S,11.2W,31.6,14.1,-2.9,-1,-13.8,50000000000,0.16
41,2020,48.7S,74.0E,29.4,18.3,-5,-13,-11.9,75000000000,0.23
42,2020,40.8N,41.7E,29.3,14.9,-6,-7.3,-11.5,57000000000,0.18
43,2020,38.7S,77.2E,25,,,,,1.62E+11,0.46
44,2020,15.9N,174.2E,,,,,,83000000000,0.26
45,2020,7.2N,44.2W,52.5,,,,,41000000000,0.14
46,2020,44.8N,131.0W,31.2,14.5,-13,-4,-5,41000000000,0.14
47,2020,20.1N,109.4W,,,,,,21000000000,0.076
48,2020,12.5N,49.8W,,,,,,27000000000,0.095
49,2020,65.6S,45.6W,,,,,,20000000000,0.073
50,2020,38.3S,23.5E,26.5,20.7,-10,3.2,17.8,1.24E+11,0.37
51,2020,24.4S,67.9W,25,,,,,1.33E+11,0.39
52,2020,53.3S,90.8E,24.3,19.8,-5.2,2.2,19,3.94E+11,1
53,2020,45.7N,15.1E,34.5,21.5,-18.2,-11.3,-2.1,1.15E+11,0.34
54,2020,3.6N,96.0W,,,,,,20000000000,0.073
55,2020,28.2N,76.7E,41.7,31.7,-27.8,-14.3,-5.2,27000000000,0.095
56,2020,30.4N,1.5E,32.5,19.8,-2,-16.6,-10.6,44000000000,0.15
57,2020,28.0N,35.8W,32,21.2,-18.6,-9,-4.7,26000000000,0.092
58,2020,33.1N,34.3E,43.3,27.4,-7.5,-23.5,-11.9,28000000000,0.098
59,2020,19.4N,66.0W,14.5,15.5,-13.2,8.1,1.2,97000000000,0.29
60,2020,71.7S,116.4W,27.8,12.9,9.8,-4.5,7,59000000000,0.19
61,2020,23.7S,125.2W,31.5,,,,,1.96E+11,0.55
62,2020,70.4S,17.5W,,,,,,45000000000,0.15
63,2019,56.5N,147.6W,35.5,22.2,14.9,-8.1,-14.3,65000000000,0.21
64,2019,47.7N,161.7E,37,17.8,13.7,-10.9,-3.3,39000000000,0.13
65,2019,3.3S,37.7W,19.5,,,,,46000000000,0.15
66,2019,5.6N,52.2W,61.5,,,,,42000000000,0.14
