Date/Time - Peak Brightness (UT),Latitude (Deg),Longitude (Deg),Altitude (km),Velocity (km/s),Velocity Components (km/s): vx,Velocity Components (km/s): vy,Velocity Components (km/s): vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
11/21/2009 20:53,22.0S,29.2E,38,32.1,3,-17,-27,"10,000,000,000,000",18
1/9/2015 10:41,2.0N,28.8E,36,,-10.7,-7.6,11.6,"139,000,000,000",0.41
5/16/2014 12:42,44.2S,176.2W,44,,14.4,4.6,6.5,"309,000,000,000",0.82
8/23/2014 6:29,61.7S,132.6E,22.2,16.2,-2.3,5.7,16.5,"3,820,000,000,000",7.6
12/12/2014 6:48,33.5N,144.9E,26.3,,11.5,-2.8,-2.2,"33,000,000,000",0.11
7/29/2014 7:38,49.2S,172.2W,,,,,,"73,000,000,000",0.23
6/1/2013 22:49,65.6S,138.4E,28.9,,,,,"34,000,000,000",0.12
2/17/2015 13:19,8.0S,11.2W,39,,-28.2,3.4,4.6,"33,000,000,000",0.11
10/17/2014 14:07,4.6S,66.3W,39,,,,,"72,000,000,000",0.23
12/8/2013 3:10,32.8N,165.1W,23.5,,2.3,2.5,-11.3,"64,000,000,000",0.2
9/5/2014 21:37,22.7N,150.0W,,,,,,"35,000,000,000",0.12
2/25/2015 10:53,12.4N,122.4W,42,,,,,"58,000,000,000",0.19
11/4/2014 20:13,43.1N,115.8E,22.2,,-7.2,-12.1,-7.7,"156,000,000,000",0.45
7/26/2013 11:32,21.0N,178.5W,37,,,,,"20,000,000,000",0.073
12/25/2010 23:24,38.0N,158.0E,26,18.1,18,-2,-4,"20,000,000,000,000",33
1/7/2015 1:05,45.7N,26.9E,45.5,,-35.4,1.8,-4.4,"136,000,000,000",0.4
1/25/2013 7:40,60.3N,64.6W,,,,,,"3,400,000,000,000",6.9
8/28/2014 3:07,3.2N,45.4W,,,,,,"34,000,000,000",0.12
1/15/2014 2:46,18.5S,141.8E,29.6,,,,,"140,000,000,000",0.41
12/23/2013 8:30,39.5N,2.0E,34.3,,-1.1,11.4,-9.9,"147,000,000,000",0.43
11/26/2014 17:40,68.2S,24.0W,37,,-7,16.1,9.4,"105,000,000,000",0.32
3/18/2014 11:02,0.0N,111.8W,30.5,,,,,"540,000,000,000",1.3
3/3/2014 15:00,29.0S,94.9W,,,,,,"94,000,000,000",0.29
2/15/2013 3:20,54.8N,61.1E,23.3,18.6,12.8,-13.3,-2.4,"375,000,000,000,000",440
3/29/2014 13:45,28.7S,121.5E,30.7,,10,-12.7,2.2,"39,000,000,000",0.13
10/8/2009 2:57,4.2S,120.6E,19.1,19.2,14,-16,-6,"20,000,000,000,000",33
6/28/2014 2:40,18.9N,141.2E,26.3,12.4,12,3.5,-10.5,"245,000,000,000",0.67
10/21/2014 18:55,22.2N,132.9W,,,,,,"34,000,000,000",0.12
10/12/2013 16:06,19.1S,25.0W,22.2,,-8,8.4,-5.5,"1,610,000,000,000",3.5
11/21/2013 1:50,44.7N,35.3E,59.3,,-5,-11,-2.7,"75,000,000,000",0.23
7/29/2014 3:07,33.9S,115.9W,,,,,,"53,000,000,000",0.17
3/12/2013 10:32,32.7S,17.1E,26,,,,,"29,000,000,000",0.1
11/27/2014 12:12,18.8S,73.4W,38,,,,,"55,000,000,000",0.18
2/18/2014 12:50,32.8S,61.5W,,,,,,"26,000,000,000",0.092
7/31/2013 3:50,31.8S,137.1E,29.1,,17.7,-2.3,-0.1,"69,000,000,000",0.22
2/26/2015 22:06,68.0N,149.0W,33.7,,5.6,-2.3,-20.2,"188,000,000,000",0.53
12/9/2014 21:19,76.6N,96.3E,26.3,,,,,"78,000,000,000",0.24
8/12/2013 18:08,34.4S,118.2E,66.6,,,,,"44,000,000,000",0.15
1/9/2015 17:31,23.3S,49.2W,,,,,,"22,000,000,000",0.079
3/4/2015 4:30,15.9S,88.1E,39.8,,7.8,-16,-2.5,"55,000,000,000",0.18
1/12/2013 3:04,15.1S,155.6W,36.1,,,,,"48,000,000,000",0.16
2/13/2014 6:47,13.3N,110.7W,25,,,,,"630,000,000,000",1.5
7/30/2013 2:36,50.2S,90.2E,25.6,,15.9,-8.6,5.1,"390,000,000,000",1
9/24/2013 15:31,10.3S,164.7W,40.7,,,,,"160,000,000,000",0.46
4/30/2013 8:40,35.5N,30.7W,21.2,,1,9,-8,"5,110,000,000,000",10
7/27/2013 8:30,0.3N,156.2E,26.5,,16,14.9,-3.3,"120,000,000,000",0.36
8/29/2014 23:15,6.2S,49.9W,,,,,,"26,000,000,000",0.092
5/16/2014 20:06,39.4S,95.9W,30.8,18,2.9,13.4,-12.5,"136,000,000,000",0.4
