,Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
0,2021,5.15N,51.4E,29.0,15.3,-13.6,-6.8,-1.7,37000000000.0,0.13
1,2021,13.8N,140.4W,28.0,,,,,60000000000.0,0.19
2,2021,59.0N,154.3E,31.4,27.5,12.9,4.2,-23.9,20000000000.0,0.073
3,2021,53.9N,148.0W,28.0,21.2,-3.5,-9.0,-18.9,137000000000.0,0.4
4,2021,2.1S,111.8W,26.0,13.6,-4.4,6.9,10.9,31000000000.0,0.11
5,2021,7.8S,90.1E,63.0,,,,,146000000000.0,0.42
6,2021,42.4N,98.4E,26.4,14.7,-1.6,-11.9,-8.4,37000000000.0,0.13
7,2021,,,,,,,,33000000000.0,0.11
8,2021,44.3N,164.2W,43.4,15.7,0.7,15.7,-0.5,740000000000.0,1.8
9,2021,17.9S,55.3W,,,,,,23000000000.0,0.082
10,2021,52.1S,171.2W,37.0,,,,,38000000000.0,0.13
11,2021,34.7S,141.0E,31.0,26.6,9.6,-24.4,-4.6,21000000000.0,0.076
12,2021,12.3N,43.4W,,,,,,25000000000.0,0.089
13,2021,26.8N,79.1W,44.4,14.1,-2.8,12.6,5.6,21000000000.0,0.076
14,2021,71.2N,106.7E,40.0,14.1,-8.9,6.3,-9.0,137000000000.0,0.4
15,2021,48.6S,90.4E,31.1,18.1,12.7,-4.7,12.0,141000000000.0,0.41
16,2021,81.1S,141.1E,32.5,23.3,10.1,-8.4,19.2,39000000000.0,0.13
17,2021,9.2N,64.1W,,,,,,28000000000.0,0.098
18,2021,75.8N,92.8W,31.0,13.1,-5.2,6.3,-10.3,30000000000.0,0.1
19,2021,48.7N,80.1E,20.0,12.8,4.0,-6.7,-10.1,31000000000.0,0.11
20,2021,5.3N,115.2E,39.4,15.2,14.0,-5.8,1.7,267000000000.0,0.72
21,2021,38.8N,51.3W,30.0,14.3,-14.2,1.9,-0.6,77000000000.0,0.24
22,2021,38.5N,47.6W,19.1,,,,,75000000000.0,0.23
23,2021,45.0S,95.5E,37.5,19.2,13.3,-3.7,13.3,61000000000.0,0.2
24,2020,14.9N,158.2W,33.0,14.4,-3.0,10.2,-9.7,49000000000.0,0.16
25,2020,36.8N,54.7W,28.3,15.2,1.5,3.5,-14.7,57000000000.0,0.18
26,2020,31.9N,96.2E,35.5,13.6,-2.6,5.9,-12.1,4900000000000.0,9.5
27,2020,33.3N,135.1E,28.1,19.6,1.8,-16.5,-10.4,26000000000.0,0.092
28,2020,30.5S,81.0W,,,,,,21000000000.0,0.076
29,2020,59.8N,16.8E,22.3,16.7,-10.8,1.2,-12.7,111000000000.0,0.33
30,2020,5.9S,160.4E,28.5,17.6,10.9,-13.8,-0.1,114000000000.0,0.34
31,2020,30.0N,71.9W,48.0,,,,,80000000000.0,0.25
32,2020,22.0N,133.5W,40.0,17.6,-9.4,14.1,-4.9,44000000000.0,0.15
33,2020,12.9N,150.2W,,,,,,22000000000.0,0.079
34,2020,29.7S,93.9W,39.0,,,,,27000000000.0,0.095
35,2020,48.6N,93.9E,40.7,,,,,21000000000.0,0.076
36,2020,11.4S,135.8W,36.0,16.4,15.6,1.5,4.9,36000000000.0,0.12
37,2020,2.4N,169.7W,46.0,11.7,10.2,2.9,-4.9,41000000000.0,0.14
38,2020,26.0N,133.5E,27.8,23.4,7.8,-21.7,3.7,64000000000.0,0.2
39,2020,35.1S,34.2W,38.0,11.1,0.5,6.0,9.3,74000000000.0,0.23
40,2020,20.0S,103.8W,36.0,,,,,22000000000.0,0.079
